My Rating,Average Rating,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Type
3,4.27,Paperback,288,1992,1991,03/12/2016,01/12/2016,Fiction
3,2.9,Paperback,108,2013,2013,01/12/2016,01/12/2016,Technical
3,3,Kindle Edition,288,2016,,01/12/2016,26/11/2016,Technical
5,3.78,Paperback,368,2014,2013,26/11/2016,21/11/2016,Non-Fiction
5,4.41,Paperback,440,2015,2015,21/11/2016,14/11/2016,Technical
4,3.4,Paperback,192,2015,,13/11/2016,10/11/2016,Technical
5,4.25,Paperback,,1995,1870,10/11/2016,10/11/2016,Non-Fiction
5,5,Paperback,,1994,1994,09/11/2016,06/11/2016,Technical
5,3.83,Paperback,203,2009,2001,05/11/2016,04/11/2016,Fiction
4,4.24,Paperback,430,2002,2001,04/11/2016,01/11/2016,Fiction
5,5,Paperback,220,2004,2004,01/11/2016,29/10/2016,Non-Fiction
4,4.14,Paperback,512,2006,2003,29/10/2016,26/10/2016,Fiction
5,5,Paperback,429,2002,2002,27/10/2016,22/09/2016,Non-Fiction
5,3.83,Hardcover,280,2009,2009,26/10/2016,20/10/2016,Non-Fiction
5,3.74,Hardcover,340,2014,2014,20/10/2016,16/10/2016,Non-Fiction
3,4.24,Hardcover,636,2015,2015,16/10/2016,02/10/2016,Non-Fiction
4,3.82,Paperback,304,2005,1956,02/10/2016,02/10/2016,Fiction
5,4.14,Paperback,328,2003,2003,02/10/2016,02/10/2016,Non-Fiction
5,3.5,Paperback,222,2007,2007,22/09/2016,22/09/2016,Technical
5,4.01,Paperback,501,2010,-170,19/09/2016,27/08/2016,Non-Fiction
5,4.19,Audio CD,,2010,2010,25/08/2016,24/08/2016,Fiction
4,4,Paperback,166,2000,2000,24/08/2016,22/08/2016,Technical
5,3.65,Paperback,272,2005,2004,22/08/2016,22/08/2016,Fiction
3,4.17,Paperback,496,2003,2003,22/08/2016,19/08/2016,Fiction
4,3.65,Paperback,736,1981,1651,19/08/2016,05/08/2016,Non-Fiction
4,4,Paperback,103,2007,1321,05/08/2016,03/08/2016,Technical
3,3.5,Kindle Edition,456,2015,,04/08/2016,27/07/2016,Technical
5,4.26,Hardcover,209,1999,1974,01/08/2016,01/08/2016,Fiction
4,4.13,Hardcover,456,2006,2006,27/07/2016,14/07/2016,Non-Fiction
5,3.31,Hardcover,278,2015,2015,13/07/2016,12/07/2016,Fiction
3,3.91,Hardcover,377,2013,2013,11/07/2016,08/07/2016,Fiction
5,4.32,Paperback,524,1999,1999,05/07/2016,03/06/2016,Technical
5,4.22,Hardcover,394,2007,2007,28/06/2016,28/06/2016,Fiction
5,4.35,Mass Market Paperback,394,2005,2004,23/06/2016,17/06/2016,Fiction
4,3.86,Hardcover,233,2013,2013,18/06/2016,18/06/2016,Fiction
0,4.12,Hardcover,272,2010,2010,03/06/2016,01/06/2016,Non-Fiction
3,3.62,Paperback,328,2015,2000,01/06/2016,28/05/2016,Non-Fiction
4,4.22,hardback,560,1917,1914,28/05/2016,25/05/2016,Non-Fiction
5,4.33,Hardcover,672,1997,1973,25/05/2016,08/04/2016,Technical
2,3.73,Hardcover,336,2012,2012,07/04/2016,02/04/2016,Non-Fiction
4,4.2,Hardcover,264,2015,2015,02/04/2016,01/04/2016,Non-Fiction
4,3.5,Paperback,380,2012,2012,01/04/2016,22/03/2016,Technical
5,4.25,Hardcover,284,2014,2014,22/03/2016,12/03/2016,Non-Fiction
5,4.16,Hardcover,303,2014,2014,19/03/2016,17/03/2016,Non-Fiction
4,4.35,Paperback,296,2015,2014,12/03/2016,07/03/2016,Technical
4,3,Paperback,168,2014,2014,07/03/2016,03/03/2016,Non-Fiction
0,3.9,Paperback,248,1998,1993,03/03/2016,27/02/2016,Non-Fiction
5,4.1,Hardcover,651,1960,-370,27/02/2016,24/02/2016,Non-Fiction
4,4.22,Paperback,576,2007,2007,24/02/2016,26/01/2016,Technical
0,4.24,Paperback,688,2005,2005,30/01/2016,24/01/2016,Technical
5,4.48,Paperback,554,2010,2008,24/01/2016,18/01/2016,Technical
5,3.9,Paperback,500,2010,2009,23/01/2016,06/01/2016,Technical
